Name,Company Size,Compliance Complexity,Country,Date,Fintech Category,Founder/Leadership,Lead Quality,Recent Activity,Regulatory Exposure,Urgency,Website,Why Regula Is Relevant
Easypaisa,Large Enterprise,"High - Digital bank license, micro-loans, wealth management, extensive financial inclusion mandate",Pakistan,"December 15, 2025",Digital Bank / Mobile Wallet,Part of Telenor group,Low,Evolved from mobile wallet to Pakistan's first digital bank,"Operated by Telenor Microfinance Bank, digital bank license from SBP, 50M users, processed Rs9.5T (~9% of GDP) in 2024, AML/KYC",Low,https://easypaisa.com.pk,"Established digital bank with mature compliance systems, likely has in-house resources"
PaySika,Startup,"High - Banking license application, IBAN issuance, cross-Africa transfers for individuals and SMEs",Cameroon,"December 15, 2025",Challenger Bank / Neobank,Unknown,High,"Selected for VISA Africa Fintech Accelerator Cohort 3 (2024), building Central Africa's first challenger bank","Building first challenger bank in Central Africa, pursuing banking license, IBAN issuance capability",High Urgency,N/A,Pioneer challenger bank establishing banking infrastructure in underserved Central African market with greenfield compliance build
PalmPay,Mid-market,"High - Evolved from payments to health insurance (1M enrolled since 2024), multi-product platform",Nigeria,"December 15, 2025",Digital Banking / Fintech,Digital banking team,High,"Launched health insurance product in 2024 with 1M enrollments, expanding beyond payments","Licensed digital banking app in Nigeria, CBN oversight, AML/KYC compliance, insurance partnerships",High Urgency,https://palmpay.com,Rapidly expanding digital bank adding regulated insurance products requiring enhanced KYC and product compliance
Moniepoint,Mid-market,"High - Cross-border remittances (UK to Africa launched), business banking, agent network",Nigeria,"December 15, 2025",Fintech Unicorn / Payments,Nigerian fintech unicorn,High,"Raised $90M in 2024, achieved unicorn status, launched UK-Africa remittance product","CBN-licensed payment service provider, became unicorn in 2024, handles remittances and business payments",High Urgency,https://moniepoint.com,New unicorn scaling cross-border remittances and business banking with complex multi-jurisdictional compliance needs
Moneco,Startup,"High - Cross-border banking, diaspora focus, EU-Africa compliance requirements",Algeria,"December 15, 2025",Neobank / Cross-border,Unknown,High,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),"Neobank linking Europe to Africa, subject to dual regulatory frameworks for diaspora banking",Medium,N/A,Cross-border neobank navigating complex dual regulatory requirements for European-African diaspora banking services
WafR,Startup,"High - Targets informal sector with financial service marketing, unique KYC challenges",Morocco,"December 15, 2025",Digital Wallet / Financial Services,Unknown,High,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),"Digital wallet for informal merchants, subject to Moroccan payment and financial services regulations",Medium,N/A,Innovative wallet bringing informal merchants into regulated financial system with challenging KYC requirements
NearPays,SMB,"High - Merchant payments, fund transfers, cash flow tracking, business-focused KYB",Nigeria,"December 15, 2025",Payment Platform / PSP,Unknown,High,Won inaugural Gitex Africa Fintech and Blockchain Award in Morocco (selected from 300+ applications),"Full-service payment platform for businesses, subject to CBN payment regulations, AML/CFT requirements",High Urgency,N/A,Award-winning payment platform scaling business services with KYB and merchant onboarding compliance requirements
Credable,SMB,"High - BaaS model serving multiple financial institutions, embedded finance compliance across MEA",Kenya (MEA-focused),"December 15, 2025",Banking-as-a-Service / Embedded Finance,Unknown,High,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),"Digital banking platform for embedded finance across Middle East & Africa, multi-jurisdictional licensing",Medium,N/A,BaaS platform enabling embedded finance across MEA requiring complex white-label compliance management
Kredete,Startup,"High - Web3/crypto compliance, cross-border remittances, credit scoring for immigrants",Nigeria,"December 15, 2025",Web3 Fintech / Crypto Remittances,Unknown,High,"Raised $2.25M in 2024/25, crossed 300K users and $100M in transactions","Blockchain-based remittances, subject to Nigerian crypto regulations and remittance licensing",High Urgency,N/A,Fast-growing Web3 fintech managing crypto regulatory compliance alongside traditional remittance requirements
Daira (FinVolution),SMB,"High - International expansion, digital lending, credit assessment systems",Pakistan,"December 15, 2025",Digital Lending / Fintech,Dr. Ming Gu (FinVolution),High,"FinVolution launched Daira in Pakistan October 2024, expanding lending operations","FinVolution expansion into Pakistan (Oct 2024), subject to SBP lending regulations and credit reporting",High Urgency,N/A,International digital lender entering Pakistan market requiring new market compliance setup and local regulatory adaptation
MoneyHash,SMB,"High - Multi-API integration, merchant payment routing, handles PCI DSS compliance across providers",Egypt,"December 15, 2025",Payment Orchestration / PSP,Fintech startup team,High,Raised $4.5M seed round in March 2024 to expand payment orchestration platform,"Payment orchestration platform consolidating multiple payment APIs, subject to Egyptian payment regulations",High Urgency,https://moneyhash.io,Rapidly scaling payment orchestrator managing compliance across multiple payment gateways and jurisdictions
HUB2,SMB,"High - Multi-country payment aggregation (Senegal, Burkina Faso, Benin, Togo, Cameroon, Ivory Coast)",Ivory Coast,"December 15, 2025",Payment Infrastructure / PSP,Founder: Ashley Gauzere,High,"Operating as 'Stripe for Francophone Africa' launched 2019, serving major fintechs","Payment aggregator in 6 Francophone countries, handles mobile money/cards/crypto through unified API",Medium,N/A,Regional payment aggregator managing compliance across 6 African countries with diverse mobile money and crypto regulations
Djamo,SMB,"High - Mobile-first neobank, regional expansion across Francophone Africa",Ivory Coast,"December 15, 2025",Neobank,YC-backed founders,High,"YC-backed, operating in Francophone West Africa, client of HUB2 payment infrastructure","YC-backed neobank in Francophone Africa, subject to BCEAO (West African Central Bank) regulations",Medium,N/A,YC-backed neobank expanding across Francophone Africa with multi-country regulatory compliance requirements
Zazu,Startup,"High - Pan-African ambitions, SME banking, multi-jurisdictional licensing requirements",Africa (Pan-African),"December 15, 2025",Neobank / SME Banking,Unknown,High,In development as pan-African SME-focused neobank inspired by global digital banking models,"Pan-African SME neobank in development, targeting 150M underserved SMEs",Medium,N/A,Ambitious pan-African SME neobank requiring multi-country licensing and complex KYB systems across diverse regulatory environments
MNT-Halan,Mid-market,"High - Digital lending with instant credit, investment products, multi-country expansion plans",Egypt,"December 15, 2025",Digital Lending / Fintech Unicorn,Egyptian fintech unicorn,High,"Raised $157.5M in Aug 2024, plots regional expansion across MENA, launched instant credit against investments (Sep 2024)","Licensed digital lender in Egypt, Central Bank oversight, AML/KYC for lending, credit scoring compliance",High Urgency,https://mnt-halan.com,Fast-growing unicorn expanding across MENA with complex lending and investment products requiring multi-jurisdictional compliance
Bioshroom,Startup,Functional mushroom producer - not financial services,South Africa,"December 15, 2025",Wellness (non-fintech),Simon Hazell (CEO),Low,Founded 2024 by former Inseco CEO Simon Hazell,Functional mushroom producer - not financial services,Low,https://bioshroom.co.za,Not relevant - non-financial business
TABB,Startup,"Building instant-acceptance trade credit network for SMEs, requires banking partnerships and credit licensing",Silicon Valley / Africa,"December 15, 2025",Trade Credit / Fintech,"Alloys (Founder, former Kobo360 founder)",High,Founded 2024 by former logistics startup founder,"Building instant-acceptance trade credit network for SMEs, requires banking partnerships and credit licensing",High,https://tabb.co,Trade credit platform needs robust identity verification and fraud prevention for SME creditworthiness assessment
Dinero Pay,SMB,"PSP license in Saudi Arabia, partnered with Akurateco for mobile payments",Saudi Arabia,"December 15, 2025",Payment Service Provider,Not disclosed,High,Recent partnership with Akurateco announced 2024,"PSP license in Saudi Arabia, partnered with Akurateco for mobile payments",Medium,https://dineropay.sa,Mobile payment provider in Saudi Arabia requires strong AML/KYC compliance for digital transactions
Cloud9 Money,Startup,"Launched October 2024, targeting young Africans, neobank operations require licensing",Kenya/Africa,"December 15, 2025",Neobank,"Tesh Mbaabu (Founder), Mesongo Sibuti (Co-founder)",High,Launched October 2024 by former MarketForce founders,"Launched October 2024, targeting young Africans, neobank operations require licensing",High,https://cloud9.money,New neobank launch requires comprehensive KYC/AML compliance and identity verification for customer onboarding in African markets
Stahili,Startup,"May handle payment distributions for surveys, potential payment licensing needs",Africa,"December 15, 2025",Survey/Rewards Platform,"Timothy Steel, Michael King, Tracey Turner (Founders)",Medium,Founded 2024 by former Copia Global team,"May handle payment distributions for surveys, potential payment licensing needs",Low,https://stahili.co,Rewards platform may need identity verification for payment distributions and fraud prevention
