Name,Date,Website,Country,Fintech Category,Regulatory Exposure,Lead Quality,Urgency,Company Size,Recent Activity,Founder/Leadership,Compliance Complexity,Why Regula Is Relevant
Easypaisa,"December 15, 2025",https://easypaisa.com.pk,Pakistan,Digital Bank / Mobile Wallet,"Operated by Telenor Microfinance Bank, digital bank license from SBP, 50M users, processed Rs9.5T (~9% of GDP) in 2024, AML/KYC",Low,Low,Large Enterprise,Evolved from mobile wallet to Pakistan's first digital bank,Part of Telenor group,"High - Digital bank license, micro-loans, wealth management, extensive financial inclusion mandate","Established digital bank with mature compliance systems, likely has in-house resources"
PaySika,"December 15, 2025",N/A,Cameroon,Challenger Bank / Neobank,"Building first challenger bank in Central Africa, pursuing banking license, IBAN issuance capability",High,High Urgency,Startup,"Selected for VISA Africa Fintech Accelerator Cohort 3 (2024), building Central Africa's first challenger bank",Unknown,"High - Banking license application, IBAN issuance, cross-Africa transfers for individuals and SMEs",Pioneer challenger bank establishing banking infrastructure in underserved Central African market with greenfield compliance build
PalmPay,"December 15, 2025",https://palmpay.com,Nigeria,Digital Banking / Fintech,"Licensed digital banking app in Nigeria, CBN oversight, AML/KYC compliance, insurance partnerships",High,High Urgency,Mid-market,"Launched health insurance product in 2024 with 1M enrollments, expanding beyond payments",Digital banking team,"High - Evolved from payments to health insurance (1M enrolled since 2024), multi-product platform",Rapidly expanding digital bank adding regulated insurance products requiring enhanced KYC and product compliance
Moniepoint,"December 15, 2025",https://moniepoint.com,Nigeria,Fintech Unicorn / Payments,"CBN-licensed payment service provider, became unicorn in 2024, handles remittances and business payments",High,High Urgency,Mid-market,"Raised $90M in 2024, achieved unicorn status, launched UK-Africa remittance product",Nigerian fintech unicorn,"High - Cross-border remittances (UK to Africa launched), business banking, agent network",New unicorn scaling cross-border remittances and business banking with complex multi-jurisdictional compliance needs
Moneco,"December 15, 2025",N/A,Algeria,Neobank / Cross-border,"Neobank linking Europe to Africa, subject to dual regulatory frameworks for diaspora banking",High,Medium,Startup,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),Unknown,"High - Cross-border banking, diaspora focus, EU-Africa compliance requirements",Cross-border neobank navigating complex dual regulatory requirements for European-African diaspora banking services
WafR,"December 15, 2025",N/A,Morocco,Digital Wallet / Financial Services,"Digital wallet for informal merchants, subject to Moroccan payment and financial services regulations",High,Medium,Startup,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),Unknown,"High - Targets informal sector with financial service marketing, unique KYC challenges",Innovative wallet bringing informal merchants into regulated financial system with challenging KYC requirements
NearPays,"December 15, 2025",N/A,Nigeria,Payment Platform / PSP,"Full-service payment platform for businesses, subject to CBN payment regulations, AML/CFT requirements",High,High Urgency,SMB,Won inaugural Gitex Africa Fintech and Blockchain Award in Morocco (selected from 300+ applications),Unknown,"High - Merchant payments, fund transfers, cash flow tracking, business-focused KYB",Award-winning payment platform scaling business services with KYB and merchant onboarding compliance requirements
Credable,"December 15, 2025",N/A,Kenya (MEA-focused),Banking-as-a-Service / Embedded Finance,"Digital banking platform for embedded finance across Middle East & Africa, multi-jurisdictional licensing",High,Medium,SMB,Selected for VISA Africa Fintech Accelerator Cohort 3 (2024),Unknown,"High - BaaS model serving multiple financial institutions, embedded finance compliance across MEA",BaaS platform enabling embedded finance across MEA requiring complex white-label compliance management
Kredete,"December 15, 2025",N/A,Nigeria,Web3 Fintech / Crypto Remittances,"Blockchain-based remittances, subject to Nigerian crypto regulations and remittance licensing",High,High Urgency,Startup,"Raised $2.25M in 2024/25, crossed 300K users and $100M in transactions",Unknown,"High - Web3/crypto compliance, cross-border remittances, credit scoring for immigrants",Fast-growing Web3 fintech managing crypto regulatory compliance alongside traditional remittance requirements
Daira (FinVolution),"December 15, 2025",N/A,Pakistan,Digital Lending / Fintech,"FinVolution expansion into Pakistan (Oct 2024), subject to SBP lending regulations and credit reporting",High,High Urgency,SMB,"FinVolution launched Daira in Pakistan October 2024, expanding lending operations",Dr. Ming Gu (FinVolution),"High - International expansion, digital lending, credit assessment systems",International digital lender entering Pakistan market requiring new market compliance setup and local regulatory adaptation
MoneyHash,"December 15, 2025",https://moneyhash.io,Egypt,Payment Orchestration / PSP,"Payment orchestration platform consolidating multiple payment APIs, subject to Egyptian payment regulations",High,High Urgency,SMB,Raised $4.5M seed round in March 2024 to expand payment orchestration platform,Fintech startup team,"High - Multi-API integration, merchant payment routing, handles PCI DSS compliance across providers",Rapidly scaling payment orchestrator managing compliance across multiple payment gateways and jurisdictions
HUB2,"December 15, 2025",N/A,Ivory Coast,Payment Infrastructure / PSP,"Payment aggregator in 6 Francophone countries, handles mobile money/cards/crypto through unified API",High,Medium,SMB,"Operating as 'Stripe for Francophone Africa' launched 2019, serving major fintechs",Founder: Ashley Gauzere,"High - Multi-country payment aggregation (Senegal, Burkina Faso, Benin, Togo, Cameroon, Ivory Coast)",Regional payment aggregator managing compliance across 6 African countries with diverse mobile money and crypto regulations
Djamo,"December 15, 2025",N/A,Ivory Coast,Neobank,"YC-backed neobank in Francophone Africa, subject to BCEAO (West African Central Bank) regulations",High,Medium,SMB,"YC-backed, operating in Francophone West Africa, client of HUB2 payment infrastructure",YC-backed founders,"High - Mobile-first neobank, regional expansion across Francophone Africa",YC-backed neobank expanding across Francophone Africa with multi-country regulatory compliance requirements
Zazu,"December 15, 2025",N/A,Africa (Pan-African),Neobank / SME Banking,"Pan-African SME neobank in development, targeting 150M underserved SMEs",High,Medium,Startup,In development as pan-African SME-focused neobank inspired by global digital banking models,Unknown,"High - Pan-African ambitions, SME banking, multi-jurisdictional licensing requirements",Ambitious pan-African SME neobank requiring multi-country licensing and complex KYB systems across diverse regulatory environments
MNT-Halan,"December 15, 2025",https://mnt-halan.com,Egypt,Digital Lending / Fintech Unicorn,"Licensed digital lender in Egypt, Central Bank oversight, AML/KYC for lending, credit scoring compliance",High,High Urgency,Mid-market,"Raised $157.5M in Aug 2024, plots regional expansion across MENA, launched instant credit against investments (Sep 2024)",Egyptian fintech unicorn,"High - Digital lending with instant credit, investment products, multi-country expansion plans",Fast-growing unicorn expanding across MENA with complex lending and investment products requiring multi-jurisdictional compliance
Bioshroom,"December 15, 2025",https://bioshroom.co.za,South Africa,Wellness (non-fintech),Functional mushroom producer - not financial services,Low,Low,Startup,Founded 2024 by former Inseco CEO Simon Hazell,Simon Hazell (CEO),Functional mushroom producer - not financial services,Not relevant - non-financial business
TABB,"December 15, 2025",https://tabb.co,Silicon Valley / Africa,Trade Credit / Fintech,"Building instant-acceptance trade credit network for SMEs, requires banking partnerships and credit licensing",High,High,Startup,Founded 2024 by former logistics startup founder,"Alloys (Founder, former Kobo360 founder)","Building instant-acceptance trade credit network for SMEs, requires banking partnerships and credit licensing",Trade credit platform needs robust identity verification and fraud prevention for SME creditworthiness assessment
Dinero Pay,"December 15, 2025",https://dineropay.sa,Saudi Arabia,Payment Service Provider,"PSP license in Saudi Arabia, partnered with Akurateco for mobile payments",High,Medium,SMB,Recent partnership with Akurateco announced 2024,Not disclosed,"PSP license in Saudi Arabia, partnered with Akurateco for mobile payments",Mobile payment provider in Saudi Arabia requires strong AML/KYC compliance for digital transactions
Cloud9 Money,"December 15, 2025",https://cloud9.money,Kenya/Africa,Neobank,"Launched October 2024, targeting young Africans, neobank operations require licensing",High,High,Startup,Launched October 2024 by former MarketForce founders,"Tesh Mbaabu (Founder), Mesongo Sibuti (Co-founder)","Launched October 2024, targeting young Africans, neobank operations require licensing",New neobank launch requires comprehensive KYC/AML compliance and identity verification for customer onboarding in African markets
Stahili,"December 15, 2025",https://stahili.co,Africa,Survey/Rewards Platform,"May handle payment distributions for surveys, potential payment licensing needs",Medium,Low,Startup,Founded 2024 by former Copia Global team,"Timothy Steel, Michael King, Tracey Turner (Founders)","May handle payment distributions for surveys, potential payment licensing needs",Rewards platform may need identity verification for payment distributions and fraud prevention
